row,range,experiment,plot,plotLength,plotLeng_1,rowSpacing,rowSpaci_1,alleyLengt,alleyLen_1,rowsPerPlo,uniqueID,geometry,NDVI_min,NDVI_max,NDVI_mean,NDVI_count,Year,Location,Pedigree,Rep,Block,MOplot
3,7,2021_MOH2_ALL,171,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,171,"POLYGON ((556133.6699331236 4309047.362112421, 556133.1386275494 4309041.289309951, 556131.6204280221 4309041.422136456, 556132.1517335961 4309047.494938925, 556133.6699331236 4309047.362112421))",0.06909417361021042,0.8098844289779663,0.21529270894189287,22252,2021,MOH2,W10004_0467/PHK76,1,14,141
4,7,2021_MOH2_ALL,172,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,172,"POLYGON ((556131.9189331882 4309047.635319944, 556131.3876274489 4309041.562517492, 556129.8694279541 4309041.69534404, 556130.4007336932 4309047.7681464935, 556131.9189331882 4309047.635319944))",0.07287946343421936,0.7644341588020325,0.18967883329307478,22252,2021,MOH2,W10004_0807/PHK76,1,14,142
5,7,2021_MOH2_ALL,173,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,173,"POLYGON ((556130.5196372789 4309047.757203384, 556129.98833163 4309041.684400924, 556128.4701321283 4309041.817227449, 556129.0014377792 4309047.890029912, 556130.5196372789 4309047.757203384))",0.06926462054252625,0.8232459425926208,0.23152147068364115,22254,2021,MOH2,W10004_0963/PHK76,1,14,143
6,7,2021_MOH2_ALL,174,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,174,"POLYGON ((556129.0295468832 4309047.910472447, 556128.4982412568 4309041.8376699835, 556126.9800417594 4309041.9704965055, 556127.5113473856 4309048.043298969, 556129.0295468832 4309047.910472447))",0.07239201664924622,0.7862159013748169,0.2509472849385338,22248,2021,MOH2,W10004_0217/PHK76,1,14,144
7,7,2021_MOH2_ALL,175,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,175,"POLYGON ((556127.1827086676 4309047.772652518, 556126.651402766 4309041.699850081, 556125.1332032232 4309041.832676666, 556125.6645091247 4309047.905479102, 556127.1827086676 4309047.772652518))",0.07778436690568924,0.8079489469528198,0.20464761254493372,22255,2021,MOH2,B73/MO17,1,15,145
8,7,2021_MOH2_ALL,176,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,176,"POLYGON ((556125.5564338943 4309047.943825462, 556125.0251279133 4309041.871023033, 556123.5069283788 4309042.003849637, 556124.0382343607 4309048.076652068, 556125.5564338943 4309047.943825462))",0.059543002396821976,0.8107394576072693,0.17294747214560957,22253,2021,MOH2,PHG39/PHN82,1,15,146
9,7,2021_MOH2_ALL,177,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,177,"POLYGON ((556124.0240663458 4309048.032798805, 556123.4927603493 4309041.959996376, 556121.9745608087 4309042.092822986, 556122.5058668039 4309048.165625412, 556124.0240663458 4309048.032798805))",0.07556480914354324,0.793949544429779,0.20632065167014965,22251,2021,MOH2,W10004_0843/PHK76,1,13,147
10,7,2021_MOH2_ALL,178,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,178,"POLYGON ((556122.462854949 4309048.253954643, 556121.9315489284 4309042.18115222, 556120.4133494043 4309042.313978834, 556120.9446554258 4309048.3867812585, 556122.462854949 4309048.253954643))",0.07057646661996841,0.8119375705718994,0.20614546110886373,22248,2021,MOH2,W10004_0197/PHK76,1,13,148
11,7,2021_MOH2_ALL,179,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,179,"POLYGON ((556120.9534266945 4309048.50440659, 556120.4221206899 4309042.431604163, 556118.9039211891 4309042.564430779, 556119.4352271935 4309048.637233205, 556120.9534266945 4309048.50440659))",0.10444317013025284,0.8452578783035278,0.2911881570392194,22253,2021,MOH2,TX110/87916,1,15,149
12,7,2021_MOH2_ALL,180,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,180,"POLYGON ((556119.415505482 4309048.605132124, 556118.8841994598 4309042.532329699, 556117.3659999532 4309042.665156318, 556117.8973059752 4309048.737958743, 556119.415505482 4309048.605132124))",0.08793003112077713,0.830437421798706,0.29881245751786356,22252,2021,MOH2,W10004_0474/PHK76,1,15,150
13,7,2021_MOH2_ALL,181,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,181,"POLYGON ((556117.7633988411 4309048.732760782, 556117.2320927159 4309042.659958367, 556115.713893211 4309042.792785011, 556116.2451993359 4309048.865587426, 556117.7633988411 4309048.732760782))",0.09337524324655533,0.8401407599449158,0.37056582263817117,22255,2021,MOH2,LH195/TX779,1,13,151
