row,range,experiment,plot,plotLength,plotLeng_1,rowSpacing,rowSpaci_1,alleyLengt,alleyLen_1,rowsPerPlo,uniqueID,geometry,NDVI_HUE_masked_min,NDVI_HUE_masked_max,NDVI_HUE_masked_mean,NDVI_HUE_masked_count,Year,Location,Pedigree,Rep,Block,MOplot
11,1,2021_MOH2_ALL,11,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,11,"POLYGON ((556125.2614506861 4309085.33098494, 556124.730145576 4309079.258182425, 556123.2119461271 4309079.391008824, 556123.7432512393 4309085.463811339, 556125.2614506861 4309085.33098494))",0.43200793862342834,0.9015545845031738,0.7637088523388438,5414,2021,MOH2,W10004_0884/PHK76,1,2,11
12,1,2021_MOH2_ALL,12,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,12,"POLYGON ((556123.7432512393 4309085.463811339, 556123.2119461271 4309079.391008824, 556121.6937466781 4309079.523835222, 556122.225051789 4309085.596637737, 556123.7432512393 4309085.463811339))",0.3290856182575226,0.9090843200683594,0.7354933722235621,5442,2021,MOH2,W10004_0037/PHK76,1,2,12
13,1,2021_MOH2_ALL,13,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,13,"POLYGON ((556122.0481056598 4309085.747424124, 556121.5168004262 4309079.674621622, 556119.9986010105 4309079.807448055, 556120.5299062439 4309085.880250556, 556122.0481056598 4309085.747424124))",0.3395226299762726,0.8981480598449707,0.7356673171902356,6283,2021,MOH2,Fill/HB,-1,-1,13
14,1,2021_MOH2_ALL,14,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,14,"POLYGON ((556120.5299062439 4309085.880250556, 556119.9986010105 4309079.807448055, 556118.4804015926 4309079.940274486, 556119.0117068279 4309086.013076989, 556120.5299062439 4309085.880250556))",0.24304184317588806,0.9060571193695068,0.7559575170366698,7438,2021,MOH2,Fill/HB,-1,-1,14
15,1,2021_MOH2_ALL,15,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,15,"POLYGON ((556118.7894435561 4309086.032522316, 556118.2581381518 4309079.959719831, 556116.7399387431 4309080.092546305, 556117.271244147 4309086.165348792, 556118.7894435561 4309086.032522316))",0.37421292066574097,0.9081822633743286,0.7599578724654288,6436,2021,MOH2,W10004_0065/PHK76,1,2,15
16,1,2021_MOH2_ALL,16,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,16,"POLYGON ((556117.271244147 4309086.165348792, 556116.7399387431 4309080.092546305, 556115.2217393352 4309080.225372781, 556115.7530447379 4309086.298175265, 556117.271244147 4309086.165348792))",0.32202839851379395,0.9061145186424255,0.7653292197120986,6009,2021,MOH2,W10004_0103/PHK76,1,2,16
17,1,2021_MOH2_ALL,17,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,17,"POLYGON ((556115.5752341567 4309086.3137315465, 556115.0439286189 4309080.240929075, 556113.5257292176 4309080.373755585, 556114.057034754 4309086.446558056, 556115.5752341567 4309086.3137315465))",0.40231579542160034,0.9118320941925049,0.7483027026943492,7583,2021,MOH2,Fill/HB,-1,-1,17
18,1,2021_MOH2_ALL,18,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,18,"POLYGON ((556114.057034754 4309086.446558056, 556113.5257292176 4309080.373755585, 556112.0075298148 4309080.5065820925, 556112.5388353532 4309086.579384563, 556114.057034754 4309086.446558056))",0.34382230043411255,0.8919795751571655,0.7318979684199302,6154,2021,MOH2,Fill/HB,-1,-1,18
19,1,2021_MOH2_ALL,19,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,19,"POLYGON ((556112.36102481 4309086.594940787, 556111.8297191366 4309080.522138332, 556110.3115197425 4309080.654964873, 556110.8428254146 4309086.7277673315, 556112.36102481 4309086.594940787))",0.400000661611557,0.9017942547798157,0.7179327566964285,3500,2021,MOH2,W10004_1007/PHK76,1,2,19
20,1,2021_MOH2_ALL,20,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,20,"POLYGON ((556110.8428254146 4309086.7277673315, 556110.3115197425 4309080.654964873, 556108.793320346 4309080.787791417, 556109.3246260191 4309086.860593875, 556110.8428254146 4309086.7277673315))",0.43130040168762207,0.9186853170394897,0.7487633625253326,4811,2021,MOH2,W10004_0168/PHK76,1,2,20
