"","PlotID","Red","Green","Blue","RedEdge","NIR","BI","GLI","NGRDI","VARI","BGI","NDVI","Pedigree","Exp_row","Exp_range"
"44",44,25190.3124628673,30270.1590877931,31117.9882089484,31949.2030071752,24041.2255838399,29378.7172788662,0.0275407415428595,0.10347627639641,1.45537682709772,1.08487660119403,-0.0398810887592296,"W10004_0741/PHK76",3,2
"45",45,25275.3692241871,30443.3247290359,31716.3853869557,32050.1900551436,23815.4701939532,29680.6900590727,0.025526614397095,0.10212187610422,Inf,1.09149182065517,-0.046265599873916,"W10004_0822/PHK76",2,2
"46",46,24528.7170181685,30031.8359353602,32069.3895279832,31960.5570163426,22914.9436684014,29429.6832272387,0.0216924162229068,0.11202612413328,1.64728281195872,1.11907500097588,-0.0536578506149756,"W10004_0271/PHK76",1,2
"47",47,24126.7760260017,28342.7199961191,30972.5340060153,31054.2675366256,22661.6347627826,28259.5099416007,0.00557705776414183,0.0889733767292757,Inf,1.14818711908712,-0.0467182847088957,"W10004_0892/PHK76",1,3
"48",48,25375.0156147272,29198.2875849222,31734.36226167,32365.0375849222,24394.317061144,29220.9977063784,0.00276714068144021,0.0795952167409758,0.970129850069288,1.14412704259944,-0.0344444563279735,"W10004_0966/PHK76",2,3
"49",49,25017.1670616799,29140.6458754841,33875.4414127984,32891.777096942,23136.9099369906,29925.6740493856,-0.0121764042419426,0.0847785304218058,2.41088717666405,1.21422214990063,-0.0553215992237808,"W10004_0732/PHK76",3,3
"50",50,23626.9754230459,27314.7311499942,33298.9511338782,31549.0254978704,21515.0366639807,28659.968825915,-0.0256103000667194,0.0779003967505154,Inf,1.26090208005241,-0.0577614993896781,"W10004_0798/PHK76",4,3
"51",51,24369.5599675851,28286.8342208845,33194.1703519333,33528.7188006483,22127.5042833989,29154.8201474691,-0.0133482681840977,0.0791438289148656,1.71610178410075,1.20831599198139,-0.0587730794712814,"W10004_0078/PHK76",5,3
"52",52,22860.8158156499,27841.6377099912,33111.2429818744,33932.8349358974,20716.6006852343,28520.9234606149,-0.00764552152194994,0.103710917245206,2.71262961582785,1.22130449843279,-0.0599005994697086,"W10004_0129/PHK76",6,3
"53",53,22091.15375,26913.8925568182,32622.0510227273,33145.9114772727,20114.9997159091,27799.0441396184,-0.0131646435717377,0.102330874313986,2.68505628519619,1.24108503412024,-0.0546024060992081,"B73/PHN82",7,3
"54",54,22151.4880437395,26707.2384643115,32476.7295722182,32658.2877313146,20819.5353280461,27693.4279098151,-0.0161162128463571,0.0993451394204,3.54991859398307,1.24816668257293,-0.0414268128128466,"W10004_0631/PHK76",8,3
"55",55,22821.911455451,26889.7590481461,31364.9044272274,32446.9432761483,22446.1493635861,27513.6812860223,-0.00870572332472245,0.0889022789548981,2.08451879730827,1.20004085913612,-0.0196818670903217,"W10004_1018/PHK76",9,3
"56",56,22920.3139483066,27267.3591800357,32125.6299019608,32693.612745098,22446.8902072193,27965.1794592132,-0.00983895191215844,0.09343703058996,2.14494707267401,1.21296913049269,-0.0225718985632655,"W10004_0256/PHK76",10,3
"57",57,22653.352665197,27321.9187157312,32889.8466451868,32743.1570855237,22594.1610423379,28196.4713546474,-0.0130510724030961,0.100015319552886,Inf,1.23780648991132,-0.0144687141917762,"W10004_0688/PHK76",11,3
"58",58,22911.1854685494,26914.6479589217,31372.7978947368,32105.9590243902,22923.3082926829,27550.7802114844,-0.00934292612976961,0.0871705657394307,1.72351460820035,1.20236457999396,-0.0115942474048936,"W10004_1140/PHK76",12,3
"59",59,23753.2444242424,27202.568,30453.4084242424,32278.4790909091,23532.512,27592.352773914,-0.00435667886161738,0.075153280045965,1.79946258449913,1.16424553442158,-0.017661903132517,"W10004_1001/PHK76",13,3
"60",60,23057.0049365303,27305.0260930889,32895.8797014575,32589.9867771509,21002.071403385,28342.025232898,-0.0163546034853825,0.088805128137144,1.99366213706316,1.23348634238051,-0.0570028537780251,"W10004_0715/PHK76",14,3
"61",61,22700.2222648122,27544.492552842,32043.1992662359,32195.4479794108,21030.646643303,27973.6991754471,-0.00266537427233349,0.103503831062539,2.60051337945873,1.20088104588122,-0.0522611891341213,"W10004_0220/PHK76",15,3
"62",62,22475.3785929373,27470.6376129209,31468.6690391459,30784.1911305776,20695.6476868327,27709.1048508842,0.00252799867648622,0.107091792487641,3.11293558088899,1.19097346187519,-0.0551779916803248,"W10004_0008/PHK76",16,3
