"","PlotID","BI","GLI","NGRDI","VARI","BGI","NDVI","Pedigree","Exp_row","Exp_range"
"114",114,2110.95302733175,0.181867221705291,0.289833911914097,0.676518501947016,0.876827154270341,0.714790247128239,"W10004_0624/PHK76",22,5
"115",115,2190.7284498427,0.21283691778823,0.305798861850735,0.661632380135902,0.813351332068102,0.728203106489021,"W10004_0799/PHK76",23,5
"116",116,2135.89829653485,0.201270000064358,0.304167283721315,0.680171652746697,0.843667262850098,0.727717511740179,"W10004_0680/PHK76",23,6
"117",117,2040.304214957,0.223861038827988,0.306973816290762,0.643115700095997,0.780836127345779,0.749912660945089,"W10004_0784/PHK76",22,6
"118",118,1893.58847873145,0.223606133635215,0.318248412843663,0.669850963247866,0.792220943428834,0.745950069126988,"TX714/TX779",21,6
"119",119,2037.33404066497,0.214841123043408,0.318271068674275,0.705790657635806,0.823585375455491,0.739229276831752,"W10004_0661/PHK76",20,6
"120",120,1910.10456615394,0.234548862801543,0.326068153795386,0.679799355990236,0.772472018764192,0.757664552422281,"REDEAR/LH195",19,6
"121",121,2069.8980908904,0.231501402981622,0.325742283129344,0.689516620959673,0.787394999419851,0.740123075864281,"W10004_0756/PHK76",18,6
"122",122,2013.08947403662,0.197970559230992,0.300488926068053,0.671337953417964,0.842211531469627,0.728627968372211,"W10004_0814/PHK76",17,6
"123",123,2329.88116447737,0.14752993445021,0.273547129977618,0.706097050701487,0.958973449449639,0.680518983411558,"W10004_0006/PHK76",16,6
"124",124,2107.81109886293,0.19081585408768,0.296684513585873,0.670718079905135,0.864130926464972,0.7126983128646,"W10004_0119/PHK76",15,6
"125",125,2099.23625044244,0.188063961709056,0.293950179631547,0.675528091327261,0.869676325755594,0.715010048260753,"W10004_0178/PHK76",14,6
"126",126,1886.97972677546,0.229652116377811,0.31905635533239,0.665119297790208,0.787404466021025,0.751590952543535,"W10004_0922/PHK76",13,6
"127",127,2133.77998130286,0.195182431513593,0.298671026214639,0.669052830552237,0.854439345309161,0.714515203786503,"W10004_0974/PHK76",12,6
"128",128,2181.56608735385,0.15885889564931,0.275947587548362,0.675298621547546,0.925921515225449,0.680731437826764,"W10004_0702/PHK76",11,6
"129",129,2233.029621298,0.171190879682683,0.279395798965895,0.656753145240004,0.899104553529858,0.687361238734823,"W10004_0010/PHK76",10,6
"130",130,2090.51068954068,0.187845635154403,0.291517437514218,0.666243861071365,0.870259411780373,0.706758109510562,"W10004_0212/PHK76",9,6
"131",131,2234.15537223139,0.183988029378089,0.2974886377841,0.693748666976271,0.890965975027034,0.688903721439829,"W10004_0896/PHK76",8,6
"132",132,2144.237753645,0.163912125203744,0.276062652714523,0.665880348213204,0.912992499942513,0.682093846512909,"W10004_0203/PHK76",7,6
"133",133,2001.02865124722,0.174544587553999,0.285100076119093,0.673559498798569,0.893125794012679,0.701394750410955,"W10004_0346/PHK76",6,6
"134",134,1891.03570580688,0.197754621568199,0.300476577622085,0.668888188973429,0.846567261491213,0.726232181732197,"W10004_0787/PHK76",5,6
"135",135,1799.24389136242,0.234276358368817,0.32582805117268,0.677885439110781,0.778437034374834,0.761182463104854,"W10004_0116/PHK76",4,6
"136",136,1908.82973744395,0.213999013468635,0.313236018011403,0.683510448901522,0.816863578507167,0.743849689680373,"W10004_0396/PHK76",3,6
"137",137,2105.08210902804,0.199616086007605,0.303954050832852,0.692890033156941,0.847516120697295,0.724814556769923,"W10004_0637/PHK76",2,6
"138",138,2047.47661360382,0.213551009378309,0.312541808504463,0.680306208179122,0.819356324663793,0.727701897217453,"W10004_0745/PHK76",1,6
"139",139,2125.01310457647,0.16892877539137,0.285191754473827,0.687284574046955,0.908975776050982,0.693161144286616,"W10004_0505/PHK76",1,7
"140",140,2080.33648171174,0.161645379033357,0.277718909630266,0.680858076523301,0.923833050349693,0.693056853370583,"W10004_0097/PHK76",2,7
"141",141,2385.8709555983,0.149096468169218,0.27032577426655,0.687584382758241,0.952922864094295,0.673765510943944,"W10004_0467/PHK76",3,7
"142",142,2610.23716937082,0.138619984686325,0.266414747355033,0.699363606545648,0.977401113416549,0.657434219852666,"W10004_0807/PHK76",4,7
"143",143,2409.06823261638,0.19849109231432,0.30858066240283,0.707776461934089,0.863538226416026,0.708097889716598,"W10004_0963/PHK76",5,7
"144",144,2234.41281969769,0.201129258803199,0.304664970908134,0.692562285034267,0.846339757245747,0.722733824886939,"W10004_0217/PHK76",6,7
"145",145,1946.17786894785,0.198329876039415,0.298457600404047,0.671215154975837,0.840189336958569,0.736935680470419,"B73/MO17",7,7
"146",146,2003.53177258793,0.20722148020976,0.309439341285474,0.685344212390179,0.837368733832196,0.725733952236468,"PHG39/PHN82",8,7
"147",147,1860.61048392859,0.201806260055471,0.300177814326591,0.663244359031486,0.836209903638283,0.736256376124463,"W10004_0843/PHK76",9,7
"148",148,1951.71525333898,0.171089308838584,0.286363083493612,0.683377309451481,0.907742255399834,0.699509134432868,"W10004_0197/PHK76",10,7
"149",149,2199.65778459265,0.138019366016241,0.258845506109688,0.666864664691686,0.962255074960243,0.662957246824926,"TX110/87916",11,7
"150",150,2044.41318760159,0.180769831349842,0.293660558857951,0.684085112111841,0.891715471540886,0.692657579741838,"W10004_0474/PHK76",12,7
"151",151,1974.98188331102,0.174192428250792,0.283238911273313,0.658786062625653,0.892083430678785,0.69274625953271,"LH195/TX779",13,7
"152",152,2118.98703250898,0.158497186583299,0.272190451836842,0.651797172487113,0.92249827642019,0.675889560561341,"W10004_0306/PHK76",14,7
"153",153,1937.59008304658,0.183686723641068,0.293298471160006,0.671663796050438,0.877402697875061,0.706520202145441,"W10004_0943/PHK76",15,7
"154",154,1982.23097009205,0.181826411094136,0.288532576020609,0.663325780981422,0.876051207554991,0.709966484220373,"W10004_0309/PHK76",16,7
"155",155,2023.28122925844,0.190280531403495,0.294735391853888,0.671121888171464,0.865915839999432,0.71699341506601,"W10004_0427/PHK76",17,7
"156",156,2072.48536301368,0.201041316568735,0.298794115607764,0.662314991327094,0.841366669358459,0.725727499748442,"W10004_0819/PHK76",18,7
