"","PlotID","Python_Height","X","LAI","Pedigree","Exp_row","Exp_range"
"189",189,1.36199951171875,189,0.280825638240087,"W10004_0800/PHK76",5,9
"190",190,1.10723876953125,190,0.148541744474247,"W10004_0650/PHK76",6,9
"191",191,0.944862518310543,191,0.0495382316990357,"W10004_0095/PHK76",7,9
"192",192,1.03033447265625,192,0.159531488711594,"PHW52/PHM49",8,9
"193",193,1.06436157226562,193,0.124902393481582,"W10004_0754/PHK76",9,9
"194",194,0.99464630126954,194,0.0765992122776042,"W10004_0292/PHK76",10,9
"195",195,0.853912353515625,195,0.141630172794242,"W10004_0727/PHK76",11,9
"196",196,0.148284912109375,196,0.00441336230309614,"W10004_0930/PHK76",12,9
"197",197,0.259872436523438,197,0.00312362068380131,"W10004_1002/PHK76",13,9
"198",198,0.547506713867193,198,0.0222033610592429,"W10004_0194/PHK76",14,9
"199",199,0.998276977539064,199,0.0922732210755024,"W10004_0383/PHK76",15,9
"200",200,1.11907958984375,200,0.273088415048214,"W10004_0106/PHK76",16,9
"201",201,0.989441680908214,201,0.108772406300923,"W10004_0148/PHK76",17,9
"202",202,1.19735717773438,202,0.208012222033611,"W10004_0380/PHK76",18,9
"203",203,1.42378234863281,203,0.349370183003429,"W10004_0916/PHK76",19,9
"204",204,1.20439147949219,204,0.210417303317375,"W10004_0704/PHK76",20,9
"205",205,1.20120239257812,205,0.233279011339716,"W10004_0877/PHK76",21,9
"206",206,1.31320404052735,206,0.362201249321021,"W10004_0751/PHK76",22,9
"207",207,1.29421997070312,207,0.232793453532987,"W10004_1037/PHK76",23,9
"208",208,1.02093536376952,208,0.224674090168387,"B73/PHM49",23,10
"209",209,1.2314631652832,209,0.150393807713199,"W10004_0713/PHK76",22,10
"210",210,1.02110290527344,210,0.186793413681888,"W10004_0868/PHK76",21,10
"211",211,1.27801513671875,211,0.289609507640068,"W10004_0055/PHK76",20,10
"212",212,1.26924468994142,212,0.219007843536722,"W10004_0031/PHK76",19,10
"213",213,1.33734130859375,213,0.307982208943062,"W10004_0794/PHK76",18,10
"214",214,1.41415405273438,214,0.362608636610538,"B73/TX779",17,10
"215",215,1.4627685546875,215,0.369182197779815,"W10004_1020/PHK76",16,10
"216",216,1.30975341796875,216,0.303873968695888,"PB80/TX779",15,10
"217",217,0.896240234375,217,0.201154303174334,"W10004_0140/PHK76",14,10
"218",218,1.188232421875,218,0.225089118995077,"W10004_0242/PHK76",13,10
"219",219,1.12932083129883,219,0.142779532104173,"W10004_0685/PHK76",12,10
"220",220,1.19322204589844,220,0.147993481360766,"W10004_0646/PHK76",11,10
"221",221,1.19709777832031,221,0.158320035310495,"W10004_0070/PHK76",10,10
"222",222,1.14088439941406,222,0.134111975011035,"W10004_0982/PHK76",9,10
"223",223,1.04383850097656,223,0.096723815990494,"W10004_0815/PHK76",8,10
"224",224,0.469082031249997,224,0.0674565453557849,"W10004_0928/PHK76",7,10
"225",225,0.36773681640625,225,0.0219310157523085,"W10004_0644/PHK76",6,10
"226",226,0.840011596679688,226,0.0541522373871121,"W10004_0149/PHK76",5,10
"227",227,0.697097778320312,227,0.0203367963604264,"2369/LH123HT",4,10
"228",228,1.01129150390625,228,0.161132613566918,"W10004_0712/PHK76",3,10
"229",229,0.945968627929688,229,0.0542522491936853,"B14A/OH43",2,10
"230",230,1.13755798339844,230,0.143841662140141,"W10004_1064/PHK76",1,10
"231",231,1.06990051269531,231,0.17328127652351,"W10004_0866/PHK76",1,11
"232",232,1.15405487060548,232,0.166932609064675,"W10004_0651/PHK76",2,11
"233",233,1.04330657958985,233,0.141363389462249,"W10004_0190/PHK76",3,11
"234",234,1.15126037597656,234,0.290385007129762,"W10004_0682/PHK76",4,11
"235",235,1.08021545410156,235,0.150427756653992,"W10004_0988/PHK76",5,11
"236",236,1.2705078125,236,0.319221890277023,"W10004_0122/PHK76",6,11
"237",237,1.17092895507812,237,0.309337860780985,"W10004_0153/PHK76",7,11
"238",238,1.01972961425781,238,0.162954915806627,"W10004_0669/PHK76",8,11
