"","PlotID","Python_Height","X","LAI","BI","GLI","NGRDI","VARI","BGI","NDVI","myIndex.1","myIndex.2","myIndex.3","myIndex.4","myIndex.5","myIndex.6","myIndex.7","myIndex.8","myIndex.9","myIndex.10","myIndex.11","myIndex.12","myIndex.13","myIndex.14","myIndex.15","myIndex.16","Pedigree","Exp_row","Exp_range"
"14",14,1.11095001220701,14,0.165461274659604,24947.5173090971,-0.980144535043286,-0.977614252177681,6.18177585337012,129.694306069121,0.199847053571727,-0.99975811930048,-60307.6188534196,-0.982097543358259,-0.980144535043286,-98896.417981531,-0.977614252177681,-0.999691075291212,-0.999878585374359,-0.985020924993836,0.447241101892021,0.621144517646775,0.547765873105924,0.00904552626482769,-27490.5708057938,0.101085079604965,0.0104048404774559,"Fill/HB",14,1
"15",15,1.02030944824219,15,0.254736198818497,20889.7950008804,-0.976820677006949,-0.973645665825955,5.60846874585912,109.994226247456,0.27174602226738,-0.999683054945933,-50333.8957932749,-0.97923549715247,-0.976820677006949,-81992.4111335178,-0.973645665825955,-0.999592529949499,-0.999840906012076,-0.982501159501948,0.440608701411441,0.611019235143334,0.553558351755875,0.0105050144636678,-22540.3681001735,0.113647585765089,0.0122077774048247,"W10004_0065/PHK76",15,1
"16",16,1.02430725097656,16,0.230860634866746,21206.755833937,-0.977184371965519,-0.974114153927222,5.38032706552146,111.59308933443,0.276767015981056,-0.999692810877264,-51109.8387747443,-0.97952866556369,-0.977184371965519,-83283.880166995,-0.974114153927222,-0.999607288754518,-0.999845803107019,-0.982777347538289,0.441277077884136,0.612047024883887,0.55298203796196,0.0103553059023903,-22908.6009944648,0.112381145125716,0.0120029692803446,"W10004_0103/PHK76",16,1
"17",17,0.754791259765625,17,0.217091637524191,23482.0752321134,-0.979986965025332,-0.977668851929738,6.23243774480622,122.342029041502,0.210018634763059,-0.999768824961288,-56732.7492845414,-0.981823266840839,-0.979986965025332,-92941.4939150833,-0.977668851929738,-0.999712871183041,-0.999883959196255,-0.984906180927543,0.448691568364171,0.623136922685687,0.546277158611677,0.00918092449093972,-25790.5318789585,0.0981059783996974,0.0104358984850468,"Fill/HB",17,1
"18",18,0.671066284179688,18,0.352789378968456,23888.3244598611,-0.979582724596303,-0.97731667979189,-Inf,123.160897027924,0.199523759585769,-0.999751308396173,-57772.5012701101,-0.981371850094457,-0.979582724596303,-95144.5628092953,-0.97731667979189,-0.999691819377779,-0.999875166567491,-0.984596763748045,0.452776701205522,0.628752969603746,0.542088886710493,0.00941401187722245,-26621.4725279895,0.0898203023616277,0.0106365024030715,"Fill/HB",18,1
"19",19,1.05506973266603,19,0.395844649646931,21309.4874135964,-0.976726584326558,-0.974408013394708,-Inf,109.02134932982,0.232930282373795,-0.999673787911792,-51504.8770073862,-0.9785752766923,-0.976726584326558,-85150.0831069812,-0.974408013394708,-0.999604845951098,-0.99983625432435,-0.982426606267138,0.456662481363213,0.633469675997544,0.537479720725833,0.0108463095128224,-23959.4329282821,0.0813411217743103,0.0120993452745963,"W10004_1007/PHK76",19,1
"20",20,1.01954650878906,20,0.254965201154303,18360.8149991967,-0.974660529234668,-0.972616096193486,-Inf,93.2294871837342,0.233469979875919,-0.999631998632301,-44331.9428957594,-0.976323354701185,-0.974660529234668,-73572.7360252295,-0.972616096193486,-0.999568911576156,-0.999815277744841,-0.980861569943037,0.463023652070221,0.641853636212656,0.530596871244124,0.0119945719234028,-20813.4236639072,0.068040345580821,0.0130924929434758,"W10004_0168/PHK76",20,1
"21",21,1.15695190429688,21,0.268810267553986,15983.9644275606,-0.9717298550363,-0.970058388996526,-Inf,80.4174494604043,0.256687595952854,-0.999554112078289,-38559.9676356589,-0.973140301026351,-0.9717298550363,-64293.8928682171,-0.970058388996526,-0.999500291714922,-0.999776181749102,-0.978634936261851,0.469981763246515,0.650852780632405,0.522896548840769,0.0136270839954011,-18308.5180232558,0.0533051118747632,0.0145134168337066,"Fill/HB",21,1
"22",22,0.767731933593751,22,0.124325241894415,15389.6715959013,-0.971763323582494,-0.970664893320627,-Inf,76.4235394661141,0.203112780294714,-0.999566821225677,-37143.1828886146,-0.972729688478247,-0.971763323582494,-62319.4353432722,-0.970664893320627,-0.999532248876504,-0.999782561242693,-0.978664168604685,0.478444643911008,0.662710557676973,0.514443412290554,0.0138335798319865,-17910.1803247555,0.0362610762607707,0.0143861588210859,"Fill/HB",22,1
"23",23,0.966446685791027,23,0.192809126094928,14453.700733813,-0.970179972661832,-0.968828015086536,-Inf,72.259444204578,0.257481604249835,-0.999519592610705,-34839.8636632076,-0.971355020645079,-0.970179972661832,-58278.051210664,-0.968828015086536,-0.999475634579509,-0.999758854330079,-0.97745965772948,0.474986769507821,0.657468029887443,0.517499783068672,0.0145402287878462,-16668.7053910402,0.0428339618396004,0.0152395013699618,"W10004_0950/PHK76",23,1
