<Phenotype>
taxa    data
Taxa	NDVI_Mean
W10004_0836/PHK76    0.588727253239329
W10004_0476/PHK76    0.533973097353512
B37/H95    0.506508363496273
W10004_0802/PHK76    0.564635130990185
W10004_0099/PHK76    0.585366607639639
LH244/PHZ51    0.495945772211602
LH74/PHN82    0.400164260864258
B37/OH43    0.453580024914864
PHJ40/PHAJ0    0.40101461207613
PHB47/PHN82    0.436854992312397
LH195/PHN82    0.390182164999155
PHJ89/PH207    0.42982961170709
B73/MO17    0.502906340340345
LH244/PHN82    0.470738024324984
LH195/PHK76    0.571560963663357
TX779/LH195    0.539191962459084
W10004_1099/PHK76    0.554019182978854
CG44/CGR01    0.42239170220062
W10004_0847/PHK76    0.563885447972453
W10004_0914/PHK76    0.633782558753842
W10004_0834/PHK76    0.615413134550252
W10004_0412/PHK76    0.644912501218453
W10004_0935/PHK76    0.565941597794413
W10004_0018/PHK76    0.561569046188187
W10004_0723/PHK76    0.502548113261184
W10004_1156/PHK76    0.519693578288695
W10004_0885/PHK76    0.459565422496318
W10004_0697/PHK76    0.512529507382774
W10004_0121/PHK76    0.565533338202143
W10004_0166/PHK76    0.554247770563864
W10004_0658/PHK76    0.495481642030126
W10004_0200/PHK76    0.596654679270341
W10004_0039/PHK76    0.585828916807432
W10004_0951/PHK76    0.545083023637243
W10004_0161/PHK76    0.444192670482074
W10004_0035/PHK76    0.482036495591742
W10004_0185/PHK76    0.481937818290773
PB80/TX779    0.4462470944403
W10004_0362/PHK76    0.530076117789495
W10004_0913/PHK76    0.522134596873789
W10004_0667/PHK76    0.559783613304165
W10004_0774/PHK76    0.577534576240771
W10004_0628/PHK76    0.561294070357678
W10004_0412/PHK76    0.590348978104664
W10004_0308/PHK76    0.49219970703125
LH195/TX779    0.556063622543492
W10004_1002/PHK76    0.575085600545584
W10004_0844/PHK76    0.486661555849273
LH82/TX779    0.497447035047743
W10004_0152/PHK76    0.556992213380632
W10004_1011/PHK76    0.612776276441283
W10004_0116/PHK76    0.65877516997908
W10004_0646/PHK76    0.63484266126478
W10004_0830/PHK76    0.640399703279072
W10004_0133/PHK76    0.626695716576708
W10004_0920/PHK76    0.605922758475953
W10004_0026/PHK76    0.641755300821147
W10004_0951/PHK76    0.634770394303087
B73/MO17    0.575312923759653
CG44/CGR01    0.496960982220114
PHB47/PHZ51    0.574819139349837
LH195/MO17    0.510727904653791
B73/PHN82    0.429665411902724
LH195/PHZ51    0.453579899562601
LH145/LH82    0.452692301536893
LH244/MO17    0.453753035035852
LH244/PHK76    0.522046258486068
PHG29/PHG47    0.488631586874685
PHB47/PHK76    0.6010591119642
PHRE1/PHTD5    0.578248938574092
W10004_0206/PHK76    0.635937823722376
W10004_0823/PHK76    0.622135492794083
W10004_0938/PHK76    0.614264215714972
W10004_0127/PHK76    0.600641444800125
W10004_0705/PHK76    0.629248111662428
W10004_0394/PHK76    0.626469489509637
W10004_0727/PHK76    0.691454454455495
W10004_0299/PHK76    0.669577221023326
W10004_0626/PHK76    0.621726081611781
W10004_0253/PHK76    0.645737906558937
W10004_0842/PHK76    0.614216983002764
W10004_1081/PHK76    0.557931554384412
W10004_0086/PHK76    0.588692074078615
W10004_0997/PHK76    0.562659315487602
W10004_0220/PHK76    0.595126749901291
W10004_0042/PHK76    0.555097987288136
W10004_0751/PHK76    0.631507473909864
W10004_0238/PHK76    0.610947577143246
W10004_0138/PHK76    0.632029174310476
W10004_1117/PHK76    0.564632177220964
W10004_0106/PHK76    0.538851893225382
W10004_0150/PHK76    0.550376799115143
W10004_0395/PHK76    0.507188686906089
F42/H95    0.396233053768382
W10004_0467/PHK76    0.497052680978884
W10004_0011/PHK76    0.60322230927239
W10004_0956/PHK76    0.639590871130659
W10004_0982/PHK76    0.594293392484629
W10004_0223/PHK76    0.644362848498182
W10004_0013/PHK76    0.684915066116082
W10004_0789/PHK76    0.627680848387768
W10004_0620/PHK76    0.648330406675018
W10004_0262/PHK76    0.648664895204111
W10004_0146/PHK76    0.681147396781502
TX110/87916    0.601898601313201
W10004_0695/PHK76    0.614941046705615
W10004_0856/PHK76    0.608091682933751
W10004_1112/PHK76    0.680428839436336
W10004_1099/PHK76    0.630737783752453
W10004_0148/PHK76    0.697648932314897
W10004_0682/PHK76    0.697653330860651
W10004_0859/PHK76    0.666587962739671
W10004_0329/PHK76    0.646753082495787
REDEAR/LH195    0.606799078325853
W10004_0276/PHK76    0.642593079651799
W10004_1015/PHK76    0.600709951352917
B73/PHZ51    0.567739705469381
TX714/PHZ51    0.586964243829388
B73/PHK76    0.585730136357343
B73/PHK76    0.57030571611198
PHB47/MO17    0.515293836091694
PHB47/PHZ51    0.561109518703026
TX714/PHZ51    0.558514032533009
B73/PHN82    0.521024793494049
PHB47/MO17    0.534187627471654
B73/PHZ51    0.554534816642499
W10004_0134/PHK76    0.616806344117287
W10004_1014/PHK76    0.585379161005435
W10004_0696/PHK76    0.600528880560041
W10004_0781/PHK76    0.634566990485311
W10004_0027/PHK76    0.711579629649287
W10004_0038/PHK76    0.686689348249407
W10004_1140/PHK76    0.765183362471035
W10004_0736/PHK76    0.698554317823344
W10004_0760/PHK76    0.691096094660548
W10004_0270/PHK76    0.646091257613109
W10004_0396/PHK76    0.582382910607012
W10004_0664/PHK76    0.579810216431356
W10004_0974/PHK76    0.595017121598843
W10004_0487/PHK76    0.540555223711869
TX773/TX779    0.541799555553687
W10004_0918/PHK76    0.653241887094995
W10004_0955/PHK76    0.620477064720515
W10004_0840/PHK76    0.566105547077864
W10004_0984/PHK76    0.602117766844828
W10004_0608/PHK76    0.600771138405086
W10004_0097/PHK76    0.590474882014531
W10004_0812/PHK76    0.559974105490062
F42/OH43    0.436873386928013
W10004_0747/PHK76    0.441877649185505
W10004_0046/PHK76    0.504412285675757
W10004_1072/PHK76    0.483003210777913
W10004_0061/PHK76    0.592291998117118
W10004_0072/PHK76    0.655747215346535
W10004_0110/PHK76    0.605520484120309
W10004_0419/PHK76    0.630644065295726
W10004_0068/PHK76    0.630280182172181
B73/TX779    0.547361013051626
W10004_0242/PHK76    0.608234792292193
W10004_1037/PHK76    0.558191374847621
W10004_1123/PHK76    0.515924186945459
W10004_0891/PHK76    0.553865597226204
W10004_0991/PHK76    0.659471501408906
W10004_0424/PHK76    0.69874987110801
B37/H95    0.671720169786934
W10004_0964/PHK76    0.681307565222636
W10004_0907/PHK76    0.676071160534807
W10004_0672/PHK76    0.684051742282987
W10004_0010/PHK76    0.67945523747427
W10004_0112/PHK76    0.705930736940299
W10004_0711/PHK76    0.678279933884553
W10004_0953/PHK76    0.643725777287921
LH244/MO17    0.525035718535065
LH244/PHN82    0.527060239006957
LH244/PHZ51    0.533808907942794
LH145/LH82    0.531641891636082
PHRE1/PHTD5    0.484900015925334
LH195/PHK76    0.566591199059857
PHB47/PHK76    0.592552972774356
PHG29/PHG47    0.497560976051059
LH195/PHZ51    0.545018968816308
PHJ89/PH207    0.585436963181846
W10004_0053/PHK76    0.65965790617344
W10004_0807/PHK76    0.636411658035255
W10004_0746/PHK76    0.638515307536018
W10004_0654/PHK76    0.606250243266386
W10004_0007/PHK76    0.599893144084796
W10004_0034/PHK76    0.624130729267233
W10004_0858/PHK76    0.712943218554075
W10004_0787/PHK76    0.694036570759458
W10004_0622/PHK76    0.669440350097724
W10004_0194/PHK76    0.631676110992801
W10004_0773/PHK76    0.564050769664483
W10004_0261/PHK76    0.58023249451948
W10004_0886/PHK76    0.589941593441278
W10004_0213/PHK76    0.535435651650619
W10004_0950/PHK76    0.558526068547244
W10004_1084/PHK76    0.605886483562346
W10004_0701/PHK76    0.510713302362904
W10004_0227/PHK76    0.638150169735863
W10004_0801/PHK76    0.516807680558444
B37/OH43    0.510163502713128
W10004_0616/PHK76    0.520919316291106
W10004_0832/PHK76    0.518412915419272
W10004_0118/PHK76    0.5055444262179
W10004_0203/PHK76    0.48437645381481
W10004_0241/PHK76    0.453925034606341
W10004_0876/PHK76    0.541783369066402
W10004_0691/PHK76    0.53965738174305
W10004_0988/PHK76    0.596906076196232
W10004_0869/PHK76    0.647001941477466
W10004_0625/PHK76    0.459310603637436
W10004_0032/PHK76    0.577359960146761
W10004_0119/PHK76    0.487102646076702
PHW52/PHN82    0.458535437490426
W10004_0132/PHK76    0.567026011600799
W10004_0783/PHK76    0.550716467935935
W10004_0474/PHK76    0.642256088133582
W10004_0820/PHK76    0.644632191142786
W10004_0167/PHK76    0.634040707836819
W10004_0649/PHK76    0.662953583688447
W10004_0888/PHK76    0.677496630317737
B73/PHM49    0.554194952527407
W10004_1045/PHK76    0.634382215403455
W10004_0775/PHK76    0.63233141130836
W10004_0393/PHK76    0.645971879016102
W10004_0196/PHK76    0.619232342397566
LH74/PHN82    0.476973341593563
PHB47/PHN82    0.501632353284621
PHJ40/PHAJ0    0.613137087389313
B73/MO17    0.565273790474398
LH195/PHN82    0.496636023888221
LH244/PHK76    0.561472860080802
LH195/MO17    0.543817104361044
W10004_0069/PHK76    0.606745471291159
W10004_0344/PHK76    0.566461760004467
W10004_0361/PHK76    0.588959794040316
W10004_0037/PHK76    0.600055100787523
W10004_0417/PHK76    0.536645057487236
W10004_0714/PHK76    0.602182400067957
W10004_0619/PHK76    0.643042356688664
W10004_1004/PHK76    0.634734987581633
PHG39/PHN82    0.532024963073221
W10004_0221/PHK76    0.561479171798922
W10004_0732/PHK76    0.607102464787665
W10004_1032/PHK76    0.508514900908383
W10004_0087/PHK76    0.511587178444903
W10004_0828/PHK76    0.486894106438596
W10004_0311/PHK76    0.529033310916446
2369/LH123HT    0.520866679515545
F42/MO17    0.519603896440417
W10004_0410/PHK76    0.618500296677215
W10004_0745/PHK76    0.616751153697768
W10004_1118/PHK76    0.593437979944191
W10004_0602/PHK76    0.452238388425571
W10004_0689/PHK76    0.52771768890302
TX777/LH195    0.48311190563364
W10004_0975/PHK76    0.529950684163064
W10004_0062/PHK76    0.555454643751988
W10004_0268/PHK76    0.548644025725576
W10004_0803/PHK76    0.542305308171216
W10004_0678/PHK76    0.577382720969268
W10004_0160/PHK76    0.557347184013303
W10004_0008/PHK76    0.57827187227296
W10004_0225/PHK76    0.639028583873402
W10004_0884/PHK76    0.54996102190842
W10004_0327/PHK76    0.578926735735954
W10004_0675/PHK76    0.550680065122133
W10004_1018/PHK76    0.536168733439838
W10004_0659/PHK76    0.584403993468149
W10004_0336/PHK76    0.60929534069436
W10004_0784/PHK76    0.643998206468872
W10004_0144/PHK76    0.650485614867747
W10004_0833/PHK76    0.659349171278021
W10004_0639/PHK76    0.699642389909163
W10004_1146/PHK76    0.623060999545275
CG119/CG108    0.586009673243249
W10004_0963/PHK76    0.595617680417418
B73/PHN82    0.539232097180362
B14A/H95    0.469955383422608
B14A/OH43    0.487099345393746
W10004_0204/PHK76    0.595493876757982
W10004_0779/PHK76    0.592526439622707
W10004_0674/PHK76    0.613051637408931
W10004_0169/PHK76    0.642917752213484
W10004_0901/PHK76    0.646780646205858
W10004_0889/PHK76    0.660912556939429
W10004_1104/PHK76    0.701212728399003
B37/MO17    0.629407634842867
W10004_0894/PHK76    0.609720129976465
W10004_0717/PHK76    0.59697415596441
W10004_0258/PHK76    0.535039780152507
W10004_0310/PHK76    0.552169607950676
W10004_0254/PHK76    0.59744613285037
W10004_1057/PHK76    0.59998714607995
W10004_0703/PHK76    0.600489180406825
W10004_0189/PHK76    0.560361900059955
W10004_1000/PHK76    0.589607539139395
B14A/MO17    0.558582938619666
W10004_0129/PHK76    0.511448604157695
W10004_0601/PHK76    0.464250365385518
W10004_0076/PHK76    0.55468159587797
W10004_0800/PHK76    0.496050211051024
