,Pedigree,QGIS_rows,QGIS_range,PlotID,Date,Phenotype,Value,date,doy,gdd
84,W10004_0714 X PHP02,10,10_18,531,2020-06-15,NDVI,0.366523840887641,200615,167,198.91
85,W10004_0965 X PHP02,9,9_18,532,2020-06-15,NDVI,0.390999245769575,200615,167,198.91
86,W10004_0132 X PHP02,8,8_18,533,2020-06-15,NDVI,0.399406730072036,200615,167,198.91
87,PB80 X TX779,7,7_18,534,2020-06-15,NDVI,0.399891165130591,200615,167,198.91
88,W10004_0336 X PHP02,6,6_18,535,2020-06-15,NDVI,0.36467215408065,200615,167,198.91
89,W10004_0840 X PHP02,5,5_18,536,2020-06-15,NDVI,0.395523049487788,200615,167,198.91
90,W10004_0644 X PHP02,4,4_18,537,2020-06-15,NDVI,0.356925734408642,200615,167,198.91
91,W10004_0654 X PHP02,13,13_18,528,2020-06-15,NDVI,0.35922514978002,200615,167,198.91
92,W10004_0866 X PHP02,9,9_19,549,2020-06-15,NDVI,0.413394502140558,200615,167,198.91
93,W10004_0220 X PHK76,12,12_16,469,2020-06-15,NDVI,0.375424141221777,200615,167,198.91
94,W10004_0393 X PHK76,14,14_16,467,2020-06-15,NDVI,0.368842553586498,200615,167,198.91
95,W10004_1037 X PHK76,20,20_14,401,2020-06-15,NDVI,0.415010658626606,200615,167,198.91
96,W10004_0154 X PHK76,19,19_14,402,2020-06-15,NDVI,0.41436246103807,200615,167,198.91
97,W10004_0771 X PHK76,18,18_14,403,2020-06-15,NDVI,0.361458727454889,200615,167,198.91
98,W10004_0991 X PHK76,17,17_14,404,2020-06-15,NDVI,0.373988734011431,200615,167,198.91
99,W10004_0940 X PHK76,16,16_14,405,2020-06-15,NDVI,0.406793310966462,200615,167,198.91
100,W10004_0498 X PHK76,15,15_14,406,2020-06-15,NDVI,0.420309815719894,200615,167,198.91
101,PHG39 X PHN82,14,14_14,407,2020-06-15,NDVI,0.375213569136615,200615,167,198.91
102,W10004_0168 X PHK76,13,13_14,408,2020-06-15,NDVI,0.372324326000168,200615,167,198.91
