"","PlotID","PlotID_agisoft","BI","GLI","NGRDI","VARI","BGI","NDVI","Pedigree","Exp_row","Exp_range"
"208",208,213,0.0967825344932468,0.078504532373915,0.227632694053723,0.730837195462619,1.10135081659038,0.59057822439386,"W10004_0794/PHK76",18,10
"209",209,212,0.0979898387217205,0.0749381284920859,0.227610718377542,0.654754114565257,1.11165857378642,0.594834720397099,"W10004_0031/PHK76",19,10
"210",210,211,0.0926796414183983,0.0830471314508434,0.23185189213094,0.752245549852939,1.0889874189629,0.611810688676559,"W10004_0055/PHK76",20,10
"211",211,210,0.0929986894008497,0.102600412523826,0.239755148152628,0.707650025842646,1.03843827189637,0.631562210768966,"W10004_0868/PHK76",21,10
"212",212,209,0.0917324440126608,0.0843823970802396,0.233385919731864,0.74339917582868,1.08611843167254,0.621339981911331,"W10004_0713/PHK76",22,10
"213",213,208,0.0853549329060799,0.11853974743298,0.258016311468853,0.751536258142425,1.01635682566123,0.665661861250891,"B73/PHM49",23,10
"214",214,207,0.0806616529440865,0.116348784688636,0.252813576713863,0.736424209591739,1.01482931218612,0.674204968763119,"W10004_1037/PHK76",23,9
"215",215,206,0.0876628769987171,0.118749853340139,0.253014027928028,0.721213752928447,1.00409233802919,0.659155357400063,"W10004_0751/PHK76",22,9
"216",216,205,0.0895972302529465,0.094481710101713,0.239880364002657,0.738278374563839,1.06290612899929,0.628813623915549,"W10004_0877/PHK76",21,9
"217",217,204,0.0896021587093148,0.0796926915784067,0.232701353116631,0.757875503615765,1.09998836057257,0.607033510168653,"W10004_0704/PHK76",20,9
"218",218,203,0.0932463622939977,0.0921017111926946,0.235830033529467,0.733605410200949,1.06535327699241,0.623292721319776,"W10004_0916/PHK76",19,9
"219",219,202,0.100016620060976,0.0774798162428073,0.231275369694709,0.76350465220577,1.10600257768162,0.595902849096713,"W10004_0380/PHK76",18,9
"220",220,201,0.0990131340025229,0.0838597336723118,0.233655987009706,0.746743675140694,1.08334766318433,0.606024309091752,"W10004_0148/PHK76",17,9
"221",221,200,0.0939850126127017,0.0816421505397081,0.227525570489739,0.709208084195641,1.08293422642831,0.599066039719242,"W10004_0106/PHK76",16,9
"222",222,199,0.0984522503444002,0.0685609310762874,0.221490526186621,0.744119087079761,1.11845705921478,0.596322695046016,"W10004_0383/PHK76",15,9
"223",223,198,0.10294737214646,0.0555836899247245,0.215565849787145,0.765285517088506,1.15509382884602,0.573141922237975,"W10004_0194/PHK76",14,9
"224",224,197,0.10899931024429,0.0608082884282358,0.219361427608092,0.760103188140981,1.14249801643583,0.558145720094802,"W10004_1002/PHK76",13,9
"225",225,225,0.121557526625905,0.0435268842385721,0.20664818665861,0.742429062660692,1.18141359347887,0.523867430171578,"W10004_0644/PHK76",6,10
"226",226,226,0.113589702342447,0.0477359407295133,0.209078201324282,0.745835801849379,1.17082066740706,0.544240562701632,"W10004_0149/PHK76",5,10
"227",227,227,0.108267406132272,0.0319005325250592,0.202896642652988,0.787679528013027,1.21635596106432,0.530100212655294,"2369/LH123HT",4,10
"228",228,228,0.0988286074102762,0.0828511747153413,0.224267784561356,0.687853391615575,1.07491599103119,0.590312009386531,"W10004_0712/PHK76",3,10
"229",229,229,0.0999234490943788,0.0679764436745068,0.223082301456588,0.751543401584503,1.12371046994164,0.587180181228133,"B14A/OH43",2,10
"230",230,230,0.0944218664128885,0.0723588702858563,0.225080080599455,0.743412533814627,1.11364565845381,0.599542037828963,"W10004_1064/PHK76",1,10
"231",231,231,0.0956601263050543,0.0846314537568158,0.232040833249316,0.736095980949723,1.08287112614016,0.614660759843815,"W10004_0866/PHK76",1,11
"232",232,232,0.0944697661781603,0.0826502948045405,0.230131461730181,0.739038443780801,1.08544521008354,0.617111776945552,"W10004_0651/PHK76",2,11
"233",233,233,0.091921265252038,0.0821269511578708,0.232395966248219,0.737824937597586,1.08834076390671,0.618098372919067,"W10004_0190/PHK76",3,11
"234",234,234,0.0920985783149364,0.0984870119889572,0.238001076656493,0.705633739577034,1.04431207698983,0.627124449984487,"W10004_0682/PHK76",4,11
"235",235,235,0.0947320052043548,0.068685199224989,0.225523473033098,0.776820092153853,1.12824133258559,0.604817766309008,"W10004_0988/PHK76",5,11
"236",236,236,0.0884085144106269,0.113893216117906,0.254643808565924,0.748940288514152,1.02695600157361,0.651252787008554,"W10004_0122/PHK76",6,11
"237",237,237,0.0885861188605999,0.109504632668378,0.246125846397459,0.720353067029291,1.02230110799472,0.658112524949969,"W10004_0153/PHK76",7,11
"238",238,238,0.0884009876854553,0.0781055924850116,0.231389650391002,0.745585926642496,1.10017886954976,0.61519021748933,"W10004_0669/PHK76",8,11
"239",239,239,0.0904275657633973,0.0913509138532402,0.239837006188582,0.748089182158247,1.0712586755924,0.622102233288276,"W10004_0268/PHK76",9,11
"240",240,240,0.0935315804653751,0.0901366739337282,0.236408551885945,0.743056834883614,1.07122139074144,0.621190729495016,"W10004_0071/PHK76",10,11
"241",241,241,0.100228156410032,0.0701426034148096,0.222289254458443,0.718688645975923,1.11242656543346,0.591297692213006,"W10004_0064/PHK76",11,11
"242",242,242,0.0960772733598867,0.0793051246786115,0.225234778100135,0.698030053074868,1.08674325731605,0.599093518970625,"W10004_0771/PHK76",12,11
"243",243,243,0.09917262980899,0.0597990890630469,0.213590374711072,0.704179897094149,1.13546424073098,0.564826389655014,"F42/MO17",13,11
"244",244,244,0.100456342220589,0.0804028438045542,0.22265931000656,0.685920605058844,1.08182707098671,0.586290597163865,"W10004_0818/PHK76",14,11
"245",245,245,0.0991878341615735,0.0720469609835715,0.218530846779537,0.686475598088151,1.10215468053168,0.575533089270888,"W10004_0059/PHK76",16,11
"246",246,246,0.0934460920034106,0.10438449433926,0.23784949909441,0.691443242976176,1.02926638984865,0.62804017605927,"B14A/MO17",17,11
"247",247,247,0.0936805536328852,0.0898124056440828,0.225172399586732,0.664227677993845,1.05446253456823,0.61032174254135,"CG119/CG108",18,11
"248",248,248,0.0901944790024637,0.068135334046707,0.217626736839095,0.692474665491005,1.11464711964121,0.591077361813838,"W10004_0836/PHK76",19,11
"249",249,249,0.0954091046071481,0.0633605494784843,0.215862684066212,0.715562262424044,1.12888364383829,0.574753363269723,"W10004_0476/PHK76",20,11
"250",250,250,0.101144063893543,0.0372934736741964,0.207682483067247,0.802170280141939,1.20760901661302,0.549148825112362,"B37/H95",21,11
"251",251,251,0.107230873188588,0.0507730657898368,0.21100454763494,0.752291830499067,1.16654442280586,0.547404756272047,"W10004_0802/PHK76",22,11
"252",252,252,0.11570230412268,0.0424940229629242,0.201860527464283,0.718405612248566,1.18151890167689,0.514097814184315,"W10004_0099/PHK76",23,11
"253",253,280,0.12436601642545,0.0319624702674526,0.191103143076527,0.689412815126137,1.20005180820923,0.488529365854683,"W10004_0628/PHK76",6,13
"254",254,279,0.112653973903428,0.0544085970074101,0.209211694940251,0.714834747675057,1.149256727113,0.540405548037162,"W10004_0774/PHK76",5,13
"255",255,278,0.108856538101942,0.0519162835207312,0.207253074790582,0.712706748114739,1.15513954404255,0.539889244037988,"W10004_0667/PHK76",4,13
