"","PlotID","Python_Height","X","LAI","FieldImageR_Height","BI","GLI","NGRDI","VARI","BGI","NDVI","myIndex.1","myIndex.2","myIndex.3","myIndex.4","myIndex.5","myIndex.6","myIndex.7","myIndex.8","myIndex.9","myIndex.10","myIndex.11","myIndex.12","myIndex.13","myIndex.14","myIndex.15","myIndex.16","Pedigree","Exp_row","Exp_range"
"335",335,0.267898559570312,335,0.777549914873858,0,23587.9676297387,-0.981140569575107,-0.979820669417155,-Inf,119.163935712352,0.132130219290241,-0.999802910352162,-57104.9571710341,-0.982204528327904,-0.981140569575107,-94969.3721611722,-0.979820669417155,-0.999773710805178,-0.999901068725791,-0.985783236903976,0.468088937153185,0.650585590982451,0.527172141814807,0.00898367949765053,-26973.1535643843,0.0593813945316196,0.00966668085560442,"W10004_1112/PHK76",15,15
"336",336,0.660751342773438,336,0.531223400139287,0,17263.7697221963,-0.974313022660592,-0.971663958998601,-Inf,89.3601837813655,0.247411925656279,-0.99963251376949,-41534.7268666626,-0.976324524721357,-0.974313022660592,-68240.7588700429,-0.971663958998601,-0.999554023822802,-0.999815536323509,-0.980601629656599,0.453227218963801,0.628051983101522,0.540306657588398,0.0119896896697117,-19002.8800024144,0.087660157112917,0.0133793794878661,"W10004_1099/PHK76",16,15
"337",337,0.44140625,337,0.686428543787005,0,19388.3204375921,-0.976899421284001,-0.975057227087205,-Inf,98.7392621458641,0.145074037144224,-0.999702460892723,-46821.3185041908,-0.978381666357005,-0.976899421284001,-77580.2478239845,-0.975057227087205,-0.99965281638958,-0.999850647036347,-0.982566078802141,0.46298897973483,0.642373264562809,0.531199713199217,0.0109364556748539,-21897.8066569955,0.068628096516063,0.0119119884236196,"W10004_0148/PHK76",17,15
"338",338,0.266677856445312,338,0.890178778732296,0,26086.0432360733,-0.982884043629435,-0.981554874523435,-Inf,131.461433384669,0.0541524728639311,-0.999836485741393,-63200.6971110442,-0.983919081549526,-0.982884043629435,-105208.941348179,-0.981554874523435,-0.999807815036243,-0.999917922254503,-0.987103224411603,0.467715445820679,0.650502698952819,0.527985628983188,0.00811053622419532,-29933.0315979537,0.0605642809161763,0.00878987915242921,"W10004_0682/PHK76",18,15
"339",339,0.0750288391113259,339,0.90536619336867,0,28744.4320006662,-0.983903493467627,-0.982900466514381,-Inf,142.545950106373,-0.0248914654586512,-0.999846323801298,-69784.2836212854,-0.984698925450393,-0.983903493467627,-117052.37650311,-0.982900466514381,-0.999821665980163,-0.999922860574769,-0.987871412729575,0.476289968297561,0.66276309319311,0.519667169278965,0.00771712336157543,-33690.0663441603,0.0436019441144231,0.00822131723519562,"W10004_0859/PHK76",19,15
"340",340,0.099151611328125,340,0.927142580769975,0,28549.2515011911,-0.983805351916159,-0.982357986833978,-Inf,142.841711713148,0.00903775067682024,-0.999845917968251,-69222.1272250836,-0.98486480772902,-0.983805351916159,-115597.614258607,-0.982357986833978,-0.999810995570119,-0.999922656862495,-0.987798004490244,0.468534348225943,0.651880755679736,0.527398319937471,0.00763154520987567,-33052.4907382308,0.0591729966107201,0.00835405783913277,"W10004_0329/PHK76",20,15
"341",341,0.446365356445312,341,0.614703037337976,0,24162.5938142326,-0.980361696825643,-0.979023476468777,-Inf,120.790818694564,0.0670574974944372,-0.999771688684356,-58551.87830982,-0.98144021562279,-0.980361696825643,-97861.1856696087,-0.979023476468777,-0.999736395039063,-0.999885396672932,-0.985187901140176,0.471394077836091,0.65501434268392,0.523668555877301,0.00937874896313912,-28005.2195427062,0.0525774538723232,0.0100721767341564,"REDEAR/LH195",21,15
"342",342,0.486190795898438,342,0.440290999148673,0,23592.482357586,-0.979782704784208,-0.978152584969965,-Inf,119.026054371546,0.0971103828332362,-0.999758229192975,-57117.6551187636,-0.981063561669726,-0.979782704784208,-95049.0708743906,-0.978152584969965,-0.999714731600914,-0.999878640536082,-0.984748961788321,0.466105457866768,0.647463961609583,0.528810862729339,0.00957097266446245,-27021.0112540193,0.0630689194398253,0.010419609317846,"W10004_0276/PHK76",22,15
"343",343,0.701385498046875,343,0.71236746381859,0,24580.1507397435,-0.980798743384847,-0.979030325137944,-Inf,125.75859245555,0.127585485969989,-0.999785529427241,-59487.077491474,-0.982194484179155,-0.980798743384847,-98332.1684729064,-0.979030325137944,-0.999743321165945,-0.999892344183086,-0.985520888236445,0.459619358441793,0.638640731230659,0.535554270970355,0.00899257633305798,-27673.6364153088,0.0763300328537724,0.00992677542573149,"W10004_1015/PHK76",23,15
"344",344,0.737686157226562,344,0.741120482860017,0,28329.3255239877,-0.983360784993351,-0.981779411023167,-Inf,144.815713549575,0.0968276709485552,-0.999836749364494,-68651.0620361294,-0.984604152051222,-0.983360784993351,-113522.339149512,-0.981779411023167,-0.999802426925339,-0.999918054582961,-0.987461044774789,0.459980649805378,0.639793257985792,0.535839698452885,0.00776564471618546,-31978.0550809877,0.0762110097416119,0.00859855921459957,"W10004_0134/PHK76",23,16
"345",345,0.766941833496105,345,0.6297055751151,0,22733.6751364106,-0.978235070356907,-0.976146612449649,-Inf,117.063855576976,0.150632414280262,-0.999707653570509,-54950.4509813128,-0.979880698915611,-0.978235070356907,-90548.2859141703,-0.976146612449649,-0.999649832844824,-0.999853253556961,-0.983570200677485,0.456497791507779,0.633620308336719,0.53802560871805,0.0101814754965113,-25354.167809184,0.0819950494857453,0.0112939715512035,"W10004_1014/PHK76",22,16
"346",346,1.55532882690429,346,0.806424148606811,0,20063.0287202786,-0.975915369382862,-0.97294201188758,11.5917145381118,105.29146810595,0.273892370214063,-0.999657348694103,-48320.8107144469,-0.978191277660564,-0.975915369382862,-78839.8916008485,-0.97294201188758,-0.999571925583019,-0.999828002481746,-0.981812664835835,0.44432990786079,0.615999425950384,0.549607647084488,0.0110411222152467,-21726.4863474297,0.105933616239513,0.0126315386958679,"W10004_0696/PHK76",21,16
"347",347,1.4321159362793,347,0.864543836570456,0,18313.956638295,-0.973384553016198,-0.969895760903377,-Inf,95.8890620906241,0.314626869904031,-0.999581904758243,-44067.0481122769,-0.976021206951473,-0.973384553016198,-71987.5203031118,-0.969895760903377,-0.999467665614789,-0.99979013258453,-0.979887922927403,0.442861465816719,0.613302026452541,0.550434508492415,0.0121531094325258,-19870.3372791678,0.108339169394714,0.0140200339373767,"W10004_0781/PHK76",20,16
"348",348,0.978761138916013,348,0.833668730650155,0,21418.1319299724,-0.977977843787287,-0.975269326709903,15.3386081075967,111.05954999558,0.245737685328096,-0.999710628278778,-51648.3779802017,-0.979974550864722,-0.977977843787287,-84766.8478040619,-0.975269326709903,-0.999632348078547,-0.999854746743857,-0.983379022078152,0.449392385371998,0.623609013546848,0.545067288654053,0.0101274739441037,-23583.1927313287,0.0962574638241107,0.011538697364101,"W10004_0027/PHK76",19,16
"349",349,0.822648010253914,349,0.728936878362166,0,19510.3254866033,-0.976059156720755,-0.973572445048692,-Inf,100.739031600244,0.225816459886496,-0.999667222437333,-47048.1295232887,-0.977976443555168,-0.976059156720755,-77410.6765746058,-0.973572445048692,-0.999594779485577,-0.999832958713641,-0.981923787945643,0.453700778145894,0.629155685386133,0.540273817835987,0.0111486181412144,-21614.6764652265,0.0871228949586865,0.0124661691520194,"W10004_0038/PHK76",18,16
"350",350,1.31234924316405,350,0.904901922853716,0,19824.7684094322,-0.975930488189457,-0.972724513551459,25.0466544230537,102.993448399486,0.276232548047535,-0.999657709248077,-47758.0253304472,-0.978301334418412,-0.975930488189457,-78309.5997144568,-0.972724513551459,-0.999557780772376,-0.999828183465701,-0.981824716135027,0.445722212199832,0.617952669124774,0.548219359845177,0.0109821897503209,-21749.6959885783,0.103190974577386,0.0126713409981011,"W10004_1140/PHK76",17,16
"351",351,0.912017822265625,351,0.784196881167047,0,20729.6821407426,-0.977028535184745,-0.97490966892066,-Inf,105.879719247555,0.200826847974572,-0.999691031431083,-50071.7620426297,-0.978693408392432,-0.977028535184745,-82832.169130934,-0.97490966892066,-0.999630304497994,-0.999844909894818,-0.982659175199737,0.459217245221527,0.637123868376717,0.535002479845052,0.0107823812499994,-23327.4336345031,0.076259026153399,0.0119059135748668,"W10004_0736/PHK76",16,16
